"nhdid","nesid","lagoslakeid","gnis_name","lg_long","lg_lat","nes_long","nes_lat"
"122975624","0910",7429,"Lake Zoar",-73.208481,41.411956,-73.175,41.383333
"122364117","0901",7195,"Aspinook Pond",-71.977092,41.629771,-71.978056,41.626944
"116098784","0904",6825,"Eagleville Pond",-72.287406,41.79071,-72.283333,41.783333
"122986238","0902",101661,"Bantam Lake",-73.220465,41.703091,-73.225,41.7
"122986239","0911",6902,"Lake Zoar",-73.345531,41.488742,-73.301111,41.450833
"133534596","1901",4351,"Lake Ahquabi",-93.591452,41.288804,-93.592222,41.291667
"132544104","1915",4686,NA,-95.133096,43.389207,-95.159722,43.373611
"152745615","1911",4314,"Rock Creek Lake",-92.847703,41.75151,-92.855556,41.740833
"130643757","1904",4637,"Clear Lake",-93.425453,43.124726,-93.4,43.125
"132543137","1913",5040,"Spirit Lake",-95.091459,43.476684,-95.102222,43.455833
"147257245","1909",5171,"Rathbun Lake",-93.034708,40.875027,-92.8925,40.825
"137044669","1903",4566,"Black Hawk Lake",-95.026069,42.296683,-95.0125,42.3
"155098136","1907",4819,NA,-91.58439,41.785417,-91.573056,41.793056
"155208424","1708",6753,NA,-88.133102,39.467205,-88.140278,39.458333
"152592542","1751",6422,"Lake Storey",-90.397037,40.98708,-90.408333,40.988889
"155281230","1748",7003,"Lake Vermilion",-87.643106,40.17496,-87.650833,40.156667
"98644878","1740",6462,"Highland Silver Lake",-89.688261,38.790855,-89.697222,38.768056
"121624597","1759",6523,"Cedar Lake",-88.090488,42.421698,-88.089444,42.421389
"149994176","1726",6979,"Shoal Creek Watershed Impoundment Reservoir",-89.598674,39.231403,-89.599444,39.1875
"120032894","1766",7439,"Horseshoe Lake",-90.093272,38.691536,-90.113333,38.683611
"121625003","1725",6473,"Long Lake",-88.12704,42.375499,-88.136111,42.375833
"131194651","1714",6965,"Lake Decatur",-88.894688,39.85205,-88.953056,39.825
"120031525","1712",7396,"Crab Orchard Lake",-89.076186,37.719658,-89.141667,37.730556
"98656210","1763",6540,"Baldwin Power Plant Cooling Lake",-89.866128,38.21684,-89.865278,38.206944
"152224891","1752",7035,"Depue Lake",-89.31335,41.313774,-89.319167,41.310556
"131465643","1753",6967,"Sangchris Lake",-89.475396,39.60942,-89.480556,39.644444
"121650633","1733",6963,"Pistakee Lake",-88.198614,42.386535,-88.206111,42.388333
"121650552","1756",6956,"Grass Lake",-88.16025,42.444006,-88.163889,42.432778
"131464476","1742",6966,"Lake Springfield",-89.627602,39.714105,-89.649444,39.687222
"155041666","1706",7441,"Carlyle Lake",-89.275633,38.700806,-89.270556,38.728611
"149994759","1711",7130,"Coffeen Lake",-89.403318,39.05089,-89.386111,39.0375
